China	1,387,630,000	November 21, 2017	18.3%	Official population clock
India	1,324,190,000	November 21, 2017	17.5%	Official population clock
United States	326,145,000	November 21, 2017	4.3%	Official population clock
Indonesia	261,890,900	July 1, 2017	3.45%	Official annual projection
Pakistan	209,651,000	November 21, 2017	2.76%	Pakistan Bureau of Statistics
Brazil	208,290,000	November 21, 2017	2.75%	Official population clock
Nigeria	193,392,500	March 21, 2016	2.55%	Annual official estimate
Bangladesh	163,517,000	November 21, 2017	2.16%	Official population clock
Russia	146,837,301	September 1, 2017	1.94%	Official estimate
Japan	126,670,000	September 1, 2017	1.67%	Monthly provisional estimate
Mexico	123,364,426	July 1, 2017	1.63%	Official projection
Philippines	104,914,000	November 21, 2017	1.38%	Official population clock
Egypt	96,072,800	November 21, 2017	1.27%	Official population clock
Ethiopia	94,352,000	July 1, 2017	1.24%	Official projection
Vietnam	93,700,000	July 1, 2017	1.24%	Annual official projection
Germany	82,800,000	December 31, 2016	1.08%	Provisional official annual estimate
Democratic Republic of the Congo	82,115,000	July 1, 2017	1.08%	UN Projection
Iran	80,976,600	November 21, 2017	1.07%	Official population clock
Turkey	79,814,871	December 31, 2016	1.05%	Official annual estimate
Thailand	69,037,513	July 1, 2017	0.91%	UN Projection
France	67,158,000	October 1, 2017	0.89%	Monthly official estimate
United Kingdom	65,648,000	July 1, 2016	0.87%	Official mid-year estimate
Italy	60,507,590	June 30, 2017	0.8%	Official estimate
South Africa	56,717,000	July 1, 2017	0.75%	Annual official estimate
Tanzania	55,451,000	July 1, 2017	0.73%	UN projection
Myanmar	53,370,609	July 1, 2017	0.7%	UN projection
South Korea	51,446,201	July 1, 2017	0.68%	Annual official estimate
Kenya	49,699,862	July 1, 2017	0.66%	UN projection
Colombia	49,504,000	November 21, 2017	0.653%	Official population clock
Spain	46,528,966	January 1, 2017	0.61%	Official estimate
Argentina	44,044,811	July 1, 2017	0.58%	Official annual projection
Ukraine	42,444,919	September 1, 2017	0.56%	Monthly official estimate
Algeria	41,697,498	July 1, 2017	0.55%	Official annual projection
Sudan	40,782,742	July 1, 2017	0.54%	Official annual projection
Poland	38,426,000	July 1, 2017	0.51%	Official estimate
Iraq	38,274,618	July 1, 2017	0.49%	UN projection
Uganda	37,673,800	July 1, 2017	0.5%	Official annual projection
Canada	36,724,300	November 21, 2017	0.484%	Official estimate
Morocco	34,498,800	November 21, 2017	0.455%	Official annual projection
Saudi Arabia	34,358,143	July 1, 2017	0.45%	Official estimate
Uzbekistan	32,345,000	July 1, 2017	0.42%	Official population report
Malaysia	32,298,200	November 21, 2017	0.426%	Official population clock
Peru	31,826,018	July 1, 2017	0.42%	Official annual projection
Venezuela	31,431,164	July 1, 2017	0.41%	Official annual projection
Afghanistan	29,724,323	July 1, 2017	0.39%	Annual official estimate
Ghana	28,956,587	July 1, 2017	0.38%	Official annual projection
Nepal	28,825,709	July 1, 2017	0.38%	Official annual projection
Angola	28,359,634	January 1, 2017	0.37%	Official Estimate
Yemen	28,250,000	July 1, 2017	0.37%	UN projection
Mozambique	27,128,530	July 1, 2017	0.36%	Annual official projection
Madagascar	25,571,000	July 1, 2017	0.34%	UN projection
North Korea	25,491,000	July 1, 2017	0.34%	UN projection
Australia	24,722,700	November 21, 2017	0.326%	Official population clock
Ivory Coast	24,725,104	July 1, 2017	0.32%	UN projection
Taiwan	23,562,318	October 31, 2017	0.31%	Monthly official estimate
Cameroon	23,248,044	January 1, 2017	0.31%	Annual official projection
Niger	21,477,348	July 1, 2017	0.28%	UN projection
Sri Lanka	21,444,000	July 1, 2017	0.28%	Official estimate
Romania	19,638,000	January 1, 2017	0.26%	Annual official estimate
Burkina Faso	19,632,147	July 1, 2017	0.26%	Annual official projection
Malawi	18,622,000	July 1, 2017	0.25%	UN Projection
Mali	18,542,000	July 1, 2017	0.24%	UN projection
Syria	18,270,000	July 1, 2017	0.24%	UN projection
Kazakhstan	18,096,900	October 1, 2017	0.24%	Official estimate
Chile	17,373,831	August 31, 2017	0.24%	Preliminary 2017 Census Results
Netherlands	17,173,300	November 21, 2017	0.226%	Official population clock
Ecuador	16,854,900	November 21, 2017	0.222%	Official population clock
